iter	Passed	Remaining
403	5520	8143
404	5526	8119
405	5532	8094
406	5555	8094
407	5559	8066
408	5585	8071
409	5592	8048
410	5625	8061
411	5630	8036
412	5633	8007
413	5656	8006
414	5663	7983
415	5665	7953
416	5667	7924
417	5681	7910
418	5712	7921
419	5714	7891
420	5718	7864
421	5741	7863
422	5753	7847
423	5756	7819
424	5781	7821
425	5783	7793
426	5785	7764
427	5788	7736
428	5801	7722
429	5836	7736
430	5863	7740
431	5865	7712
432	5868	7684
433	5872	7657
434	5899	7662
435	5941	7686
436	5944	7658
437	5946	7630
438	5959	7615
439	5982	7613
440	5995	7600
441	6013	7591
442	6015	7563
443	6017	7535
444	6022	7511
445	6033	7495
446	6046	7480
447	6048	7452
448	6050	7424
449	6052	7397
450	6124	7454
451	6127	7428
452	6152	7429
453	6155	7402
454	6156	7374
455	6159	7348
456	6161	7321
457	6167	7298
458	6171	7274
459	6191	7268
460	6220	7272
461	6230	7255
462	6233	7229
463	6236	7203
464	6239	7178
465	6246	7158
466	6249	7132
467	6251	7106
468	6257	7084
469	6287	7090
470	6308	7085
471	6311	7059
472	6315	7036
473	6320	7013
474	6322	6988
475	6324	6962
476	6326	6936
477	6328	6910
478	6342	6898
479	6397	6930
480	6403	6909
481	6405	6884
482	6408	6859
483	6444	6870
484	6457	6857
485	6478	6852
486	6550	6900
487	6552	6874
488	6554	6849
489	6557	6825
490	6563	6804
491	6566	6780
492	6570	6757
493	6588	6748
494	6602	6735
495	6621	6728
496	6626	6706
497	6629	6682
498	6637	6664
499	6666	6666
500	6697	6670
501	6699	6646
502	6701	6621
503	6707	6600
504	6710	6577
505	6712	6553
506	6734	6548
507	6762	6549
508	6764	6524
509	6766	6500
510	6786	6494
511	6837	6517
512	6848	6501
513	6850	6477
514	6858	6459
515	6868	6442
516	6925	6470
517	6928	6446
518	6930	6423
519	6939	6406
520	6941	6382
521	6944	6358
522	6955	6343
523	6965	6327
524	6986	6321
525	7006	6314
526	7008	6290
527	7010	6267
528	7013	6244
529	7016	6222
530	7025	6205
531	7057	6208
532	7083	6206
533	7086	6184
534	7095	6167
535	7097	6144
536	7099	6121
537	7101	6098
538	7103	6075
539	7105	6052
540	7108	6030
541	7110	6008
542	7112	5985
543	7114	5963
544	7117	5942
545	7119	5920
546	7184	5949
547	7219	5954
548	7226	5936
549	7228	5914
550	7235	5896
551	7241	5877
552	7256	5865
553	7283	5863
554	7286	5842
555	7288	5820
556	7290	5798
557	7294	5777
558	7303	5761
559	7316	5748
560	7323	5730
561	7351	5729
562	7353	5708
563	7355	5686
564	7357	5664
565	7364	5646
566	7403	5653
567	7412	5637
568	7423	5623
569	7444	5616
570	7447	5595
571	7454	5577
572	7461	5560
573	7478	5550
574	7488	5535
575	7501	5521
576	7508	5504
577	7537	5502
578	7539	5481
579	7547	5465
580	7553	5447
581	7589	5450
582	7608	5442
583	7611	5421
584	7613	5400
585	7632	5391
586	7652	5383
587	7682	5382
588	7684	5362
589	7686	5341
590	7711	5336
591	7740	5334
592	7762	5327
593	7766	5308
594	7770	5288
595	7794	5283
596	7810	5272
597	7844	5273
598	7862	5263
599	7883	5255
600	7902	5246
601	7904	5225
602	7905	5205
603	7917	5190
604	7940	5184
605	7955	5172
606	7974	5163
607	7978	5144
608	7980	5123
609	7997	5113
610	8019	5105
611	8029	5090
612	8042	5077
613	8044	5057
614	8047	5037
615	8057	5022
616	8077	5014
617	8106	5010
618	8120	4998
619	8123	4978
620	8125	4958
621	8137	4945
622	8154	4934
623	8166	4920
624	8184	4910
625	8194	4895
626	8196	4876
627	8209	4862
628	8212	4844
629	8216	4825
630	8242	4820
631	8244	4800
632	8263	4790
633	8288	4785
634	8291	4765
635	8293	4746
636	8296	4727
637	8307	4713
638	8369	4728
639	8371	4709
640	8373	4689
641	8375	4670
642	8377	4651
643	8380	4632
644	8384	4614
645	8387	4596
646	8392	4578
647	8448	4589
648	8450	4570
649	8453	4551
650	8455	4533
651	8457	4514
652	8461	4496
653	8466	4479
654	8468	4460
655	8470	4442
656	8472	4423
657	8474	4404
658	8480	4388
659	8548	4403
660	8551	4385
661	8553	4367
662	8555	4348
663	8559	4331
664	8563	4313
665	8565	4295
666	8568	4277
667	8571	4259
668	8584	4247
669	8637	4254
670	8641	4236
671	8643	4218
672	8645	4200
673	8714	4215
674	8717	4197
675	8719	4179
676	8725	4162
677	8727	4144
678	8729	4126
679	8731	4108
680	8733	4091
681	8740	4075
682	8808	4088
683	8810	4070
684	8813	4052
685	8815	4034
686	8817	4017
687	8821	4000
688	8823	3982
689	8826	3965
690	8901	3980
691	8903	3963
692	8905	3945
693	8920	3933
694	8934	3920
695	8950	3909
696	9034	3927
697	9038	3910
698	9041	3893
699	9051	3879
700	9053	3861
701	9056	3844
702	9072	3833
703	9087	3820
704	9101	3808
705	9135	3804
706	9148	3791
707	9162	3779
708	9165	3761
709	9167	3744
710	9193	3736
711	9202	3722
712	9226	3713
713	9231	3697
714	9233	3680
715	9236	3663
716	9267	3657
717	9294	3650
718	9324	3644
719	9327	3627
720	9335	3612
721	9363	3605
722	9391	3598
723	9393	3581
724	9395	3563
725	9397	3546
726	9399	3529
727	9402	3512
728	9414	3499
729	9430	3488
730	9441	3474
731	9456	3462
732	9466	3448
733	9479	3435
734	9490	3421
735	9506	3409
736	9512	3394
737	9538	3386
738	9541	3369
739	9543	3352
740	9545	3336
741	9546	3319
742	9552	3304
743	9554	3287
744	9556	3271
745	9558	3254
746	9560	3238
747	9579	3227
748	9626	3226
749	9637	3212
750	9652	3200
751	9654	3183
752	9658	3168
753	9661	3152
754	9686	3143
755	9715	3135
756	9725	3121
757	9728	3105
758	9730	3089
759	9734	3074
760	9781	3072
761	9807	3063
762	9810	3047
763	9818	3032
764	9820	3016
765	9822	3000
766	9824	2984
767	9827	2968
768	9829	2952
769	9866	2947
770	9877	2933
771	9881	2918
772	9883	2902
773	9885	2886
774	9887	2870
775	9889	2854
776	9892	2839
777	9895	2823
778	9966	2827
779	9968	2811
780	9972	2796
781	9976	2781
782	9984	2767
783	10008	2757
784	10010	2741
785	10012	2726
786	10023	2712
787	10050	2703
788	10063	2691
789	10102	2685
790	10119	2673
791	10122	2658
792	10127	2643
793	10129	2628
794	10131	2612
795	10154	2602
796	10183	2593
797	10198	2581
798	10202	2566
799	10207	2551
800	10210	2536
801	10218	2522
802	10226	2508
803	10228	2493
804	10232	2478
805	10261	2469
806	10270	2456
807	10280	2442
808	10283	2427
809	10330	2423
810	10345	2411
811	10352	2396
812	10362	2383
813	10366	2368
814	10368	2353
815	10377	2340
816	10388	2326
817	10390	2311
818	10393	2296
819	10400	2283
820	10406	2268
821	10408	2253
822	10463	2250
823	10468	2236
824	10477	2222
825	10506	2213
826	10508	2198
827	10510	2183
828	10512	2168
829	10522	2155
830	10525	2140
831	10555	2131
832	10571	2119
833	10590	2107
834	10594	2093
835	10613	2082
836	10625	2069
837	10651	2059
838	10666	2046
839	10673	2032
840	10688	2020
841	10696	2007
842	10721	1996
843	10726	1982
844	10751	1972
845	10754	1957
846	10772	1945
847	10793	1934
848	10811	1922
849	10823	1910
850	10826	1895
851	10868	1887
852	10872	1873
853	10898	1863
854	10904	1849
855	10932	1839
856	10981	1832
857	10997	1820
858	10999	1805
859	11001	1790
860	11036	1781
861	11038	1767
862	11040	1752
863	11042	1738
864	11052	1724
865	11078	1714
866	11088	1700
867	11114	1690
868	11117	1675
869	11123	1662
870	11131	1648
871	11133	1634
872	11138	1620
873	11156	1608
874	11187	1598
875	11199	1585
876	11212	1572
877	11232	1560
878	11293	1554
879	11295	1540
880	11297	1525
881	11299	1511
882	11309	1498
883	11315	1484
884	11343	1473
885	11365	1462
886	11370	1448
887	11373	1434
888	11380	1420
889	11406	1409
890	11413	1396
891	11428	1383
892	11442	1371
893	11473	1360
894	11475	1346
895	11478	1332
896	11482	1318
897	11508	1307
898	11512	1293
899	11527	1280
900	11541	1268
901	11544	1254
902	11555	1241
903	11558	1227
904	11587	1216
905	11610	1204
906	11613	1190
907	11615	1176
908	11617	1163
909	11619	1149
910	11621	1135
911	11627	1121
912	11630	1108
913	11659	1097
914	11662	1083
915	11680	1071
916	11691	1058
917	11695	1044
918	11697	1031
919	11702	1017
920	11709	1004
921	11724	991
922	11774	982
923	11820	972
924	11835	959
925	11847	946
926	11851	933
927	11859	920
928	11878	907
929	11880	894
930	11882	880
931	11886	867
932	11918	855
933	11927	842
934	11943	830
935	11949	817
936	11953	803
937	11955	790
938	11962	777
939	12035	768
940	12037	754
941	12042	741
942	12044	728
943	12052	714
944	12054	701
945	12061	688
946	12066	675
947	12069	662
948	12071	648
949	12074	635
950	12109	623
951	12136	611
952	12138	598
953	12141	585
954	12148	572
955	12150	559
956	12152	546
957	12154	532
958	12165	520
959	12169	507
960	12221	495
961	12223	482
962	12227	469
963	12229	456
964	12231	443
965	12234	430
966	12236	417
967	12247	404
968	12278	392
969	12307	380
970	12310	367
971	12316	354
972	12344	342
973	12358	329
974	12371	317
975	12387	304
976	12389	291
977	12390	278
978	12392	265
979	12394	252
980	12397	240
981	12402	227
982	12406	214
983	12469	202
984	12473	189
985	12475	177
986	12477	164
987	12516	152
988	12525	139
989	12542	126
990	12569	114
991	12571	101
992	12574	88
993	12579	75
994	12581	63
995	12602	50
996	12617	37
997	12620	25
998	12634	12
999	12649	0
